Category,Sub Category,Order Date,Profit
Oil & Masala,Masalas,11-08-2017,401.28
Beverages,Health Drinks,11-08-2017,149.8
Food Grains,Atta & Flour,06-12-2017,165.2
Fruits & Veggies,Fresh Vegetables,10-11-2016,89.6
Food Grains,Organic Staples,10-11-2016,918.45
Food Grains,Organic Staples,06-09-2015,322.7
Fruits & Veggies,Fresh Vegetables,06-09-2015,346.92
Fruits & Veggies,Fresh Fruits,06-09-2015,147.76
Bakery,Biscuits,06-09-2015,181.93
Bakery,Cakes,06-09-2015,484.65
Snacks,Chocolates,06-09-2015,437.69
"Eggs, Meat & Fish",Eggs,06-09-2015,308.44
Snacks,Cookies,4/15/2018,315.21
Fruits & Veggies,Fresh Vegetables,12-05-2017,63.85
"Eggs, Meat & Fish",Chicken,11/22/2016,207.75
Oil & Masala,Edible Oil & Ghee,11/22/2016,100.8
Bakery,Cakes,11-11-2015,318.82
Beverages,Health Drinks,5/13/2015,113.19
"Eggs, Meat & Fish",Mutton,8/27/2015,386.54
Beverages,Soft Drinks,8/27/2015,159.16
Beverages,Health Drinks,8/27/2015,208.8
Food Grains,Dals & Pulses,12-09-2017,47.4
Beverages,Soft Drinks,12-09-2017,148.47
Fruits & Veggies,Organic Vegetables,7/16/2018,77.52
"Eggs, Meat & Fish",Eggs,9/25/2016,495
Snacks,Chocolates,1/16/2017,202.2
Snacks,Cookies,1/16/2017,43.28
Bakery,Biscuits,9/17/2016,401.39
Beverages,Soft Drinks,9/17/2016,874.72
Oil & Masala,Masalas,9/17/2016,69.23
Beverages,Soft Drinks,9/17/2016,166.05
Snacks,Noodles,9/17/2016,420
Oil & Masala,Edible Oil & Ghee,9/17/2016,670.53
Oil & Masala,Masalas,9/17/2016,337.8
Beverages,Health Drinks,10/19/2018,80.9
"Eggs, Meat & Fish",Eggs,12-08-2017,569.25
Beverages,Soft Drinks,12-08-2017,56.04
Fruits & Veggies,Organic Vegetables,12/27/2016,446.82
Fruits & Veggies,Fresh Fruits,12/27/2016,280.16
"Eggs, Meat & Fish",Chicken,12/27/2016,879.35
Beverages,Health Drinks,12/27/2016,92.4
Beverages,Soft Drinks,09-10-2018,616.44
Snacks,Cookies,7/17/2017,345.78
Snacks,Cookies,9/19/2018,1039.95
Bakery,Biscuits,03-11-2017,731.72
"Eggs, Meat & Fish",Eggs,03-11-2017,355
Fruits & Veggies,Organic Vegetables,10/20/2015,509.4
Snacks,Noodles,6/20/2017,610.08
Snacks,Noodles,6/20/2017,43.56
Bakery,Cakes,4/18/2016,415.47
Beverages,Soft Drinks,4/18/2016,153.34
Beverages,Soft Drinks,4/18/2016,553.44
Bakery,Cakes,4/18/2016,99.19
Fruits & Veggies,Fresh Vegetables,12-11-2017,181.83
Fruits & Veggies,Organic Fruits,12-11-2017,60.8
Food Grains,Atta & Flour,6/17/2017,611
"Eggs, Meat & Fish",Fish,6/17/2017,271.17
Food Grains,Dals & Pulses,6/17/2017,194.88
"Eggs, Meat & Fish",Mutton,6/17/2017,421.12
Beverages,Health Drinks,6/17/2017,678.72
Oil & Masala,Masalas,6/17/2017,271.32
Snacks,Noodles,6/17/2017,289.46
"Eggs, Meat & Fish",Fish,11/24/2016,184.2
Fruits & Veggies,Fresh Fruits,11/24/2016,661.58
"Eggs, Meat & Fish",Eggs,11/24/2016,200.31
"Eggs, Meat & Fish",Mutton,11/24/2016,766.08
Food Grains,Atta & Flour,4/30/2016,383.04
Fruits & Veggies,Fresh Vegetables,12-05-2015,510.4
Food Grains,Atta & Flour,12-05-2015,77.64
Oil & Masala,Masalas,06-04-2017,554.4
"Eggs, Meat & Fish",Mutton,9/18/2017,357.84
Snacks,Noodles,9/14/2018,1011.88
Snacks,Cookies,4/26/2016,100.94
Fruits & Veggies,Organic Vegetables,4/26/2016,475
Beverages,Soft Drinks,4/26/2016,117.9
Beverages,Soft Drinks,12-09-2018,193.57
Fruits & Veggies,Organic Fruits,12-09-2018,75
Snacks,Noodles,12-09-2018,488.88
Snacks,Cookies,11/26/2015,64.71
Fruits & Veggies,Organic Fruits,06-12-2017,621.81
Beverages,Health Drinks,06-12-2017,912.15
Food Grains,Atta & Flour,10-12-2015,765.16
Oil & Masala,Spices,10-12-2015,227.7
Beverages,Soft Drinks,09-03-2016,682.66
Fruits & Veggies,Organic Fruits,11/13/2018,344.52
Oil & Masala,Spices,5/28/2018,659.99
Food Grains,Rice,10/26/2018,615.65
"Eggs, Meat & Fish",Eggs,10/26/2018,665.2
Bakery,Breads & Buns,04-05-2017,189.99
Food Grains,Dals & Pulses,9/17/2017,450.72
"Eggs, Meat & Fish",Chicken,9/17/2017,46.14
Beverages,Health Drinks,9/17/2017,409.53
Food Grains,Atta & Flour,1/31/2016,383.04
Fruits & Veggies,Fresh Fruits,1/31/2016,270.84
Snacks,Chocolates,1/31/2016,218.45
"Eggs, Meat & Fish",Fish,11-06-2018,442.8
Food Grains,Atta & Flour,11-09-2018,723.84
Fruits & Veggies,Fresh Fruits,6/17/2018,125.35
Snacks,Chocolates,09-06-2017,391.17
Oil & Masala,Spices,8/29/2017,531
Bakery,Cakes,8/29/2017,910.74
Beverages,Soft Drinks,8/29/2017,671.88
Snacks,Chocolates,12-01-2017,175.77
Fruits & Veggies,Fresh Fruits,11/13/2016,184.11
Food Grains,Dals & Pulses,11/13/2016,1035
Oil & Masala,Masalas,11/13/2016,78.75
Beverages,Health Drinks,11/23/2018,108
Snacks,Cookies,11/23/2018,176.88
"Eggs, Meat & Fish",Eggs,11/23/2018,155.68
Fruits & Veggies,Fresh Fruits,10/15/2016,271.17
Food Grains,Dals & Pulses,12/25/2018,505.58
Bakery,Breads & Buns,11-03-2017,111
Oil & Masala,Edible Oil & Ghee,11-03-2017,581.85
Fruits & Veggies,Fresh Vegetables,8/25/2015,69.24
Snacks,Noodles,8/25/2015,242
Snacks,Chocolates,8/25/2015,287.1
Fruits & Veggies,Organic Fruits,8/25/2015,157.59
Fruits & Veggies,Organic Vegetables,03-02-2016,186.77
Food Grains,Rice,04-05-2016,90.3
"Eggs, Meat & Fish",Chicken,06-12-2017,74.1
Fruits & Veggies,Organic Vegetables,06-12-2017,174.02
Bakery,Cakes,06-12-2017,201.19
"Eggs, Meat & Fish",Mutton,06-12-2017,188.32
Beverages,Soft Drinks,06-12-2017,187.59
Bakery,Breads & Buns,12/26/2015,390
Fruits & Veggies,Organic Vegetables,9/20/2015,71.12
"Eggs, Meat & Fish",Mutton,11-05-2018,870.24
Oil & Masala,Spices,11-05-2018,336.18
Food Grains,Rice,11-06-2017,597.78
Food Grains,Atta & Flour,11-06-2017,126.07
Snacks,Chocolates,02-02-2018,416.13
Beverages,Soft Drinks,02-02-2018,105.6
"Eggs, Meat & Fish",Fish,02-02-2018,140.8
Bakery,Cakes,10/13/2017,315.02
Beverages,Health Drinks,10/13/2017,664.44
Fruits & Veggies,Organic Fruits,10/13/2017,514.8
Oil & Masala,Spices,10/13/2017,674.28
"Eggs, Meat & Fish",Eggs,10/13/2017,329.46
Snacks,Noodles,10/13/2017,484.44
"Eggs, Meat & Fish",Mutton,10/13/2017,424.32
Bakery,Biscuits,09-05-2017,381.04
Oil & Masala,Masalas,9/18/2018,223.47
Food Grains,Atta & Flour,9/18/2018,293.7
